"key","en","ru","zh"
"empty_key","","",""
"height_difference","56 u","56 u","56u"
"tab_settings_general","General","Общее","一般事务"
"tab_settings_input","Controls","Управление","管理层"
"tab_settings_graphics","Graphics","Графика","图形学"
"tab_settings_audio","Audio","Аудио","音频"
"tab_settings_account","Account","Аккаунт","帐户"
"settings_sensitivity_hip","Sensitivity","Чувствительность","敏感度"
"settings_sensitivity_ads","Sensitivity in ADS","Чувствительность в прицеле","范围内的敏感度"
"settings_sensitivity_sniper_ads","Sensitivity in sniper scope","Чувствительность в снайперском прицеле","狙击范围内的灵敏度"
"settings_crosshair","Crosshair","Прицел","十字准线"
"settings_crosshair_space","Space","Пространство","空间"
"settings_crosshair_width","Width","Толщина","阔度"
"settings_crosshair_height","Height","Высота","身高"
"settings_crosshair_outline","Outline","Обводка","大纲"
"settings_crosshair_t","T Style","T образный прицел","T型"
"settings_language","English","Русский","China"
"settings_language_title","Language","Язык","语言"
"settings_language_title_interface","Interface:","Интерфейс:","界面:"
"settings_language_title_voice","Voice:","Озвучка:","声音:"
"settings_graphics_level","Graphics level","Уровень графики","图形级别"
"settings_graphics_level_low","Low","Низкий","低"
"settings_graphics_level_medium","Medium","Средний","中等"
"settings_graphics_level_high","High","Высокий","高"
"settings_graphics_level_ultra","Ultra","Ультра","超"
"settings_player_movement_wallrunning_pro_mode","Pro mode","Про режим","Pro模式"
"settings_player_movement_wallrunning_pro_mode_tooltip","Pro mode gives more subtle control over the character. For example, the character will not stick to the walls themselves. To do this you will need to press the movement buttons in the direction of the wall. Eliminates the possibility of accidental running on walls.","Про режим даёт более тонкий контроль над персонажем. К примеру, персонаж не будет прилипать к стенам сам. Для этого понадобится зажать кнопки движения в сторону стены. Исключает возможность случайного бега по стенам.","专业模式给你更微妙的控制字符. 例如，角色不会自己粘在墙壁上。 要做到这一点，你需要按住墙上的运动按钮。 消除了在墙壁上意外运行的可能性。"
"settings_player_dynamic_fov","Dynamic FOV","Динамический FOV","动态FOV"
"settings_player_dynamic_fov_tooltip","Dynamically changes the camera angle of view depending on the speed of the character.","Динамически изменяет угол обзора камеры в зависимости от скорости персонажа.","根据角色的速度动态改变相机的视角。"
"button_play","Play","Играть","游戏"
"button_play_story_mode","Play story","Компания","游戏故事"
"button_play_multiplayer","Play multiplayer","Играть в мультиплеер","多人游戏"
"button_settings","Settings","Настройки","设置"
"button_quit","Exit","Выйти","走出去"
"button_quit_to_menu","Back to main menu","Вернуться в главное меню","返回主菜单"
"button_change_loadout","Change Loadout","Изменить Снаряжение","更改装载量"
"ui_loading_screen_loading_text","Loading...","Загрузка...","装货。.."
"gameplay_ui_tab_menu_kills","Kills","Убийства","杀人犯"
"gameplay_ui_tab_menu_deaths","Deaths","Смерти","死亡"
"gameplay_ui_tab_menu_ping","Ping","Задержка","平"
"gameplay_ui_tab_menu_score","Score","Очки","得分"
"guns_name_shotgun","Shotgun","Дробовик","猎枪,猎枪"
"guns_name_pistol","Pistol","Пистолет","枪"
"dialogue_unknown_name","Unknown","Неизвестный","zh"